,Product_Name,Alcohol_Percent,Alcohol_Capcity,Alcohol_Price
478,Auchroisk 1996,48,70cl,175
479,Aberfeldy 15 Year Old,43,70cl,61.45
480,Glen Scotia 11 Year Old,54.7,70cl,64.95
481,Glen Scotia Victoriana,54.2,70cl,74.95
482,Glen Scotia Double Cask,46,70cl,39.95
483,Glen Scotia 15 Year Old,46,70cl,68.95
484,Glen Scotia 18 Year Old,46,70cl,125
485,Glen Scotia 15 Year Old,46,20cl,37.45
486,Glen Scotia 21 Year Old,46,70cl,250
487,Hazelburn 1999,47,70cl,700
488,Glen Scotia Double Cask,46,20cl,20.95
489,Glen Scotia Double Cask,46,20cl,19.45
490,Glen Scotia Double Cask,46,70cl,47.95
491,Springbank 1995,46,70cl,750
492,Longrow 1973,46,75cl,"3,000"
493,Glen Scotia 25 Year Old,48.8,70cl,550
494,Springbank 25 Year Old,46,70cl,"3,500"
495,Springbank 1969,54,70cl,"4,500"
496,Springbank 1963,46,75cl,"8,500"
497,SMWS 27.12,57.2,75cl,"2,250"
498,Springbank 1966,52.5,70cl,"10,000"
499,Springbank 1966 Local Barley,52,70cl,"10,000"
500,Longrow 1974,46,75cl,"4,000"
501,Springbank 50 Year Old,40.5,75cl,"20,000"
502,Springbank 12 Year Old,46,75cl,"1,500"
503,Springbank 1967,46,75cl,"4,000"
504,Springbank 1995,50.6,70cl,"3,000"
505,Springbank 1969,54.4,75cl,"4,000"
506,Glen Scotia Tasting Set (Double Cask and 15 Year Old),46,40cl,44.75
507,Springbank 1979,46,70cl,"2,000"
508,Springbank 1966,52.1,70cl,"10,000"
509,Springbank 5 Year Old,43,75cl,"1,500"
510,Springbank 1965,42.7,70cl,"5,000"
511,SMWS 126.1 (Hazelburn),56.7,70cl,"1,250"
512,Springbank 25 Year Old,46,70cl,"3,000"
513,Springbank 1967,43.1,70cl,"4,500"
514,SMWS 27.32 (Springbank),51.9,70cl,"8,000"
515,Springbank 1966,47.1,70cl,"6,000"
